fname,Status,pixel size,Single tick,Sex,Lifestage,Feed-Stage,Species,Identifier_initials,ID_date,Notes,re-cropped
Amblyomma_americanum_f_a_ta_unk_fed_200615-0654-55.jpg,Augment,92,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unk_200615-0717-70.jpg,Keep,24,TRUE,f,a,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200615-2123-18.jpg,Keep,28,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200615-2207-32.jpg,Keep,20,TRUE,f,a,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200617-1735-37.jpg,Augment,52,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_200622-0623-90.jpg,Augment,55,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200622-1347-96.jpg,Augment,26,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200623-1935-54.jpg,Keep,20,TRUE,f,a,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200625-1714-81.jpg,Keep,20,TRUE,f,a,unk,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200625-7411-32.jpg,Keep,25,TRUE,f,a,fed,Amblyomma americanum,XL,08/06/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200625-9107-29.jpg,Augment,93,TRUE,f,a,unfed,Amblyomma americanum,XL,08/06/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_fed_200627-0116-57.jpg,Augment,41,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200628-1040-23.jpg,Augment,27,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200628-2116-75.jpg,Discard,21,FALSE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200701-1529-17.jpg,Augment,56,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200703-7068-64.jpg,Augment,85,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_fed_200704-1031-91.jpg,Augment,40,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200708-1529-93.jpg,Augment,70,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200708-1802-72.jpg,Augment,40,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200710-2234-15.jpg,Augment,20,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200713-1336-24.jpg,Augment,152,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_190429-5054-94.jpg,Augment,55,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190429-8924-50.jpg,Augment,29,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190430-2045-90.jpg,Augment,40,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190506-1430-98.jpg,Augment,120,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_190520-2237-88.jpg,Augment,65,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_190521-2252-69.jpg,Augment,25,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190527-1124-11.jpg,Augment,58,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190527-9636-14.jpg,Augment,67,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_190602-1704-66.jpg,Keep,39,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190602-4159-56.jpg,Augment,46,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_190621-0053-85.jpg,Augment,52,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_190623-1613-89.jpg,Augment,47,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190626-0542-88.jpg,Augment,58,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_190704-0343-71.jpg,Augment,57,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_190706-1848-96.jpg,Augment,79,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_200502-2695-56.jpg,Augment,20,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200519-5661-12.jpg,Augment,51,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200522-0747-45.jpg,Augment,100,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_fed_200522-5506-52.jpg,Augment,66,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_200526-0912-43.jpg,Augment,34,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_ta_unk_unfed_200531-0629-65.jpg,Augment,30,FALSE,unk,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200531-1502-53.jpg,Augment,29,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200531-1508-16.jpg,Keep,26,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200531-1912-89.jpg,Keep,17,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_ta_unk_unfed_200531-8335-76.jpg,Augment,100,FALSE,unk,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200603-1334-77.jpg,Augment,20,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200603-2046-61.jpg,Keep,20,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200604-5432-72.jpg,Augment,80,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200612-1903-30.jpg,Augment,20,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200613-1050-65.jpg,Augment,30,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200613-1719-76.jpg,Augment,22,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200613-2313-28.jpg,Augment,40,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200616-2134-16.jpg,Augment,20,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200616-2143-11.jpg,Augment,25,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200616-2154-42.jpg,Augment,26,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_fed_200619-2132-90.jpg,Augment,40,TRUE,f,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200626-1118-34.jpg,Augment,37,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200627-7036-50.jpg,Augment,94,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_a_ta_unk_unk_200523-2230-88.jpg,Discard,20,TRUE,unk,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200606-1549-95.jpg,Keep,24,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unk_200711-5036-63.jpg,Keep,20,TRUE,f,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_mcevbd_unk_fed_NNTID35.jpg,Augment,35,TRUE,unk,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_ta_unk_fed_200402-6888-37.jpg,Keep,20,TRUE,unk,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200516-2131-42.jpg,Keep,15,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200524-1947-64.jpg,Keep,25,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-2056-22.jpg,Discard,14,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200606-4510-63.jpg,Keep,25,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200606-7042-73.jpg,Keep,27,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unfed_200607-3656-12.jpg,Augment,70,FALSE,unk,unk,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200607-8365-56.jpg,Augment,65,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200616-2149-55.jpg,Keep,18,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200617-1320-95.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200621-3931-88.jpg,Keep,18,FALSE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200628-1227-64.jpg,Keep,60,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200628-1743-36.jpg,Augment,100,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200628-2149-51.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200628-9077-23.jpg,Augment,50,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_fed_200703-9597-65.jpg,Keep,20,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200704-1150-69.jpg,Augment,87,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200704-1200-46.jpg,Augment,43,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200715-0006-25.jpg,Augment,45,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190421-1350-36.jpg,Augment,67,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_190421-1352-32.jpg,Keep,29,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_ta_unk_unfed_190422-2117-82.jpg,Keep,57,TRUE,unk,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_fed_190424-1922-33.jpg,Keep,28,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_fed_190429-1520-50.jpg,Keep,18,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190430-1916-47.jpg,Augment,110,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_190508-3523-34.jpg,Augment,40,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190513-8530-56.jpg,Augment,40,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_190526-2115-24.jpg,Keep,22,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190528-1216-77.jpg,Augment,60,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_fed_190529-1357-51.jpg,Augment,30,TRUE,m,a,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190601-3399-27.jpg,Augment,55,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190601-4974-23.jpg,Augment,73,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190607-1029-27.jpg,Augment,46,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_190610-1644-66.jpg,Keep,26,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190611-1314-40.jpg,Augment,100,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_190623-1724-83.jpg,Augment,95,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_a_ta_unk_unk_190626-2309-71.jpg,Keep,38,TRUE,unk,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190705-2048-70.jpg,Augment,78,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_190707-0826-98.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190710-0807-24.jpg,Augment,32,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190713-2848-97.jpg,Augment,55,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_190718-2247-77.jpg,Keep,39,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_191221-1047-44.jpg,Augment,86,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200418-1414-93.jpg,Augment,150,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200524-1445-53.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200531-1421-62.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200531-1918-71.jpg,Keep,20,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200601-1030-36.jpg,Augment,30,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200601-2006-40.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-1353-82.jpg,Keep,16,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200605-0938-13.jpg,Augment,100,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200605-1403-96.jpg,Augment,30,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_f_a_ta_unk_unfed_200615-1621-20.jpg,Augment,23,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200619-5344-24.jpg,Augment,40,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200619-6445-13.jpg,Augment,25,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200623-1939-20.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200701-1939-84.jpg,Keep,15,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200520-1934-79.jpg,Augment,32,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200521-1340-69.jpg,Augment,50,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200526-0658-16.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unk_200528-1443-37.jpg,Keep,20,TRUE,m,a,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_m_a_ta_unk_unfed_200603-8463-75.jpg,Augment,100,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200608-1734-78.jpg,Augment,50,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200608-2143-52.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200626-2005-12.jpg,Keep,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200601-2018-77.jpg,Augment,60,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200605-4862-70.jpg,Discard,156,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,microscope view,FALSE
Amblyomma_americanum_m_a_ta_unk_unfed_200716-1206-14.jpg,Augment,60,TRUE,m,a,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_f_a_ta_unk_unfed_200328-0619-84.jpg,Augment,40,TRUE,f,a,unfed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200604-2109-90.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200618-0027-81.jpg,Discard,5,FALSE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_l_ta_unk_unk_200619-2117-71.jpg,Keep,30,TRUE,unk,l,unk,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_n_ta_unk_unfed_200522-0952-46.jpg,Keep,100,TRUE,unk,n,unfed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-1329-30.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-1346-29.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200704-2034-17.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_n_ta_unk_fed_200525-0848-45.jpg,Augment,100,TRUE,unk,n,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_n_ta_unk_unk_200527-0821-34.jpg,Keep,20,TRUE,unk,n,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200527-0940-29.jpg,Discard,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200601-1204-52.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-1021-18.jpg,Discard,15,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200603-8766-68.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_n_ta_unk_fed_200604-0807-49.jpg,Augment,165,TRUE,unk,n,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_unk_200606-0025-86.jpg,Keep,30,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200606-0257-30.jpg,Discard,20,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_fed_200606-1612-76.jpg,Discard,20,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_fed_200610-0825-73.jpg,Keep,40,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_unk_ta_unk_fed_200611-0905-28.jpg,Keep,80,TRUE,unk,unk,fed,Amblyomma americanum,XL,8/7/2020,,FALSE
Amblyomma_americanum_unk_n_ta_unk_fed_200613-1725-31.jpg,Keep,30,TRUE,unk,n,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_n_ta_unk_fed_200614-1823-25.jpg,Keep,20,TRUE,unk,n,fed,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_n_ta_unk_unk_200615-2318-10.jpg,Keep,20,TRUE,unk,n,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
Amblyomma_americanum_unk_unk_ta_unk_unk_200618-1703-71.jpg,Discard,10,TRUE,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,,TRUE
